Locality	Latitude	Longitude	Marine Limit	Reference
Carr Lake	62.166667	-95.683333	171	Lee (1959, 1968)
Kazan River	63.766667	-95.666667	137	Lee (1968)
Cape Butler	77.513333	-95.566667	121	Lamoureux and England (2000)
Barrow Harbour	76.583333	-95.525	116	Dyke (1998)
Lyall River	77.0125	-95.383333	131	Dyke (1998)
Wrottesley Valley	71.25	-95.3	155	Dyke (1984)
Lyall River	76.960278	-95.254444	117	Dyke (1998)
Cornwall Island	77.780833	-94.958333	115	Lamoureux and England (2000)
Inglis Sound	76.375833	-94.922778	91	Dyke (1998)
Whitmore Point	76.959722	-94.874444	114	Dyke (1998)
Resolute Bay	74.7125	-94.866667	120	Dyke et al. (1991)
Cape Anne	74.03	-94.8	122	Dyke et al. (1991)
Duffy Lake	62.816667	-94.8	168	Prest et al. (1968)
Nudlukta Inlet	71.458333	-94.483333	192	Dyke (unpublished)
Stanwell-Fletcher Lake	72.775	-94.35	157	Dyke et al. (1991)
Washington Point	75.775	-94.35	110	Dyke (1998)
Bere Bay	76.857778	-94.232222	99	Dyke (1998)
Nelson River	56.416667	-94.216667	125	Klassen (1986), Dredge and Nixon (1992)
Sundance	56.52	-94.08	125	Klassen (1986)
Porden Point	76.333056	-93.896944	95	Dyke (1998)
Cape Garry	72.447222	-93.7	150	Dyke (1983)
Arthur Fiord	76.455	-93.696944	80	Dyke (1998)
Creswell Bay	72.808333	-93.683333	145	Dyke (unpublished)
Cunningham Inlet	73.983333	-93.666667	102	Dyke et al. (1991)
Abernethy River	71.216667	-93.666667	215	Dyke (1984)
Wilmer Bay	76.765278	-93.545	101	Dyke (1998)
Lord Lindsay River	70.01	-93.5	156	Dyke (1984)
Sand Bay	78.8	-93.283333	123	Dyke and England (unpublished)
Shepherd Bay	68.979167	-92.941667	184	Dyke (1984)
Good Friday Bay Southwest	78.633333	-92.933333	123	Dyke and England (unpublished)
Good Friday Bay Southwest	78.485	-92.735	114	Dyke and England (unpublished)
Triton Bay	76.541389	-92.409167	110	Dyke (1998)
Owen Point	76.0725	-92.365556	84	Dyke (1998)
Rens Lake	81.083333	-92.25	84	Bednarski (1998)
Macormick Bay	75.39	-92.236389	102	Dyke (1998)
Fury Point	72.819444	-92.016667	90	Dyke (1979a)
Griffin Inlet	75.188056	-92.013889	91	Dyke (1998)
Lovell Point	74.858889	-91.953056	107	Dyke (1998)
Cape Southwest	78.274722	-91.911666	130	Dyke and England (unpublished)
Good Friday Bay head	78.560555	-91.878333	92	Dyke and England (unpublished)
Dragleyback Inlet	75.61	-91.786111	83	Dyke (1998)
Strand Fiord mouth	79.166667	-91.783333	105	Lemmen et al. (1994)
Sophia Cove	75.133056	-91.7725	67	Dyke (1998)
Chesterfield Inlet South	63.25	-91.6	188	Lee (1959), Prest et al. (1968)
Providence Mountain	75.617778	-91.558056	78	Dyke (1998)
Cape Southwest	78.230278	-91.505	123	Dyke and England (unpublished)
Expedition Fiord	79.333333	-91.383333	93	Lemmen et al. (1994)
Gascoyne Inlet	74.655	-91.298333	115	Dyke (1998)
Viks Fiord	75.755556	-91.206667	77	Dyke (1998)
Lightfoot River	80.716667	-91	110	Bednarski (1998)
Expedition River	79.4	-90.733333	102	Lemmen et al. (1994)
Rodd Bay	73.926667	-90.625	76	Dyke et al. (1991)
Drover Lake	74.903056	-90.578889	65	Dyke (1998)
Strand Fiord head	79.25	-90.283333	124	Lemmen et al. (1994)
Sandhook Bay	75.790833	-90.072222	94	Dyke (1998)
Thomas Lee Inlet, West Arm	75.541667	-89.991667	76	Dyke (1998)
Pelly Bay	68.966667	-89.983333	250	Dyke (1984)
Fitzgerald Bay	72.016667	-89.883333	102	Dyke (2000c)
Fitzgerald Bay	72.05	-89.866667	96	Dyke (2000c)
Wager Bay head	65.5	-89.8	114	Prest et al. (1968)
Jugeborg Fiord	81.316667	-89.7	135	Bednarski (1995)
McBean Bay	72.608333	-89.666667	99	Dyke (2000c)
Stang Bay	80.416667	-89.483333	143	Bednarski (1998)
Flat Sound	80.266667	-89.25	143	Bednarski (1998)
Morin Point	71.433333	-89.116667	118	Hooper (1996), Hooper and Dyke (2000)
Easter Cape	70.883333	-88.9	116	Hooper (1996), Hooper and Dyke (2000)
Wolf Fiord	78.348889	-88.743333	106	Dyke and England (unpublished)
Thomas Lee Inlet, main arm	75.342778	-88.633889	79	Dyke (1998)
Schei Peninsula West	80.366667	-88.55	156	Bednarski (1998)
Mistake Creek	64.316667	-88.483333	148	Lee (1968)
Bernier Bay North-central	71.3	-88.466667	106	Hooper (1996), Hooper and Dyke (2000)
Ryder Inlet	74.843889	-88.421111	56	Dyke (1998)
Ellice Hills	67.75	-88.3	255	Giangioppi et al. (2003)
Bernier Bay East	70.883333	-88.1	125	Hooper (1996), Hooper and Dyke (2000)
Scaare Fiord head	79	-87.9	123	Dyke and England (unpublished)
Albion Lake	82.05	-87.75	80	Evans (1990)
Ammonite Mountain	77.833333	-87.666666	131	England et al. (2004)
Cape Storm	76.391667	-87.633333	130	Blake (1975)
Nookap Fiord	75.431389	-87.601667	69	Dyke (1998)
Great Bear Cove	77.333333	-87.5	120	Hodgson (1985)
Wager Bay mouth	65.5	-87.5	133	Prest et al. (1968)
Bear Corner	78.116667	-87.45	142	O'Cofaigh et al. (2000)
Bushmill Pass	81.966667	-87.25	85	Evans (1990)
Hvitland Peninsula	81.1	-87.2	116	Bednarski (1995)
Foss Fiord	70.483333	-87.183333	138	Hooper (1996), Hooper and Dyke (2000)
Bernier Bay Northeast	71.133333	-87.083333	111	Hooper (1996), Hooper and Dyke (2000)
Cape York	73.716667	-87.016667	62	Dyke (2000d)
Vista River	72.75	-87	80	Dyke (2000c)
Schei Point	77.817778	-86.826111	135	England et al. (2004)
Stratton Inlet	74.623333	-86.796667	55	Dyke (1998)
Trappers Cove	78.65	-86.716667	118	O'Cofaigh et al. (2000)
Le froy West	67.3	-86.666667	140	Dredge (2002)
North Pole	66.866667	-86.666667	140	Dredge (2002)
Blind Fiord mouth	78.133333	-86.666667	138	O'Cofaigh et al. (2000)
Troelsen Ridge	80.066667	-86.566667	152	Bell (1996)
Frozen Strait	66	-86.5	141	Prest et al. (1968)
Tiriganialaag River	72.208333	-86.483333	98	Dyke (2000c)
Berlinguet Inlet	70.916667	-86.45	139	Hooper (1996), Hooper and Dyke (2000)
Berlinguet River	71.166667	-86.416667	111	Hooper (1996), Hooper and Dyke (2000)
Le froy East	67.3	-86.333333	120	Dredge (2002)
Matheson River	67.633333	-86.33	150	Dredge (2002)
Baad Fiord	76.683333	-86.316667	110	Blake (1975)
Blue Man Cape	79.8	-86.3	150	Bell (1996)
Tikiraq River	71.85	-86.3	95	Dyke and Hooper (2000)
Kuuruluk River	72.408333	-86.3	106	Dyke (2000c)
Stor Island	78.883333	-86.233333	151	O'Cofaigh et al. (2000)
Cape Appel	70.116667	-86.116667	119	Hooper (1996), Hooper and Dyke (2000)
Repulse Bay	66.5	-86.083333	150	Dredge (2002)
Ekwan River	53.533333	-86.05	167	Skinner (1973)
Blind Fiord middle	78.233333	-85.95	133	O'Cofaigh et al. (2000)
Cache Head Fiord	81.95	-85.916667	86	Evans (1990)
Wales Island East	67.966667	-85.833333	150	Dredge (2002)
Hare Cape	79.733333	-85.783333	149	Bell (1996)
Corcoran	68.5	-85.75	220	Dredge (1995)
Selkirk	68.166667	-85.75	170	Dredge (1995)
Sibbald	68.3	-85.75	235	Dredge (1995)
Eqalulik River	72.65	-85.658333	41	Dyke (2000c)
Powell Inlet	74.690278	-85.583333	42	Dyke (1998)
Bagnall	68.333333	-85.5	145	Dredge (1995)
Trold Fiord mouth	78.1	-85.466667	143	O'Cofaigh et al. (2000)
Stanley Point	73.816667	-85.45	60	Dyke (2000d)
Franklin North	69.516667	-85.416667	220	Dredge (1995)
Hopkins	69.25	-85.416667	180	Dredge (1995)
Haviland-2	66.45	-85.416667	182	Dredge (2002)
Cape Alfred Ernest	82.333333	-85.416667	65	Evans (1990)
Gunnars Island South	77.291667	-85.383333	85	Atkinson (1999)
Remus Creek North	79.963611	-85.361667	146	Bell (1996)
Firkin Point	75.556944	-85.354444	43	Dyke (1998)
Cape Ellice	69.633333	-85.333333	200	Dredge (1995)
Ellice South	69.583333	-85.333333	220	Dredge (1995)
Garry Bay West	68.716667	-85.333333	200	Dredge (1995)
Bell Bay	70.75	-85.3	92	Hooper (1996), Hooper and Dyke (2000)
Romulus Lake	79.85	-85.283333	145	Bell (1996)
Autridge Bay	70.133333	-85.266667	119	Hooper (1996), Hooper and Dyke (2000)
Hare Fiord	81.083333	-85.233333	110	Bednarski (1995)
Hoved Island	77.533333	-85.216667	102	Atkinson (1999), England et al. (2004)
Bay Fiord	78.916667	-85.216667	120	O'Cofaigh et al. (2000)
South Cape Fiord	76.525	-85.2	115	Blake (1975)
Sunday Bay	71.676667	-85.15	88	Dyke and Hooper (2000)
Cape Crawford	73.633333	-85.125	55	Dyke (2000d)
Corrigal	69.416667	-85.083333	140	Dredge (1995)
Hurd North	66.65	-85.083333	150	Dredge (2002)
Victor Bay	73.05	-85.083333	60	Dyke (2000d)
Black Top Ridge	80.25	-85.033333	149	Bell (1996)
The Points	63.55	-85	172	Bird (1970)
White Island	65.85	-85	158	Bird (1970)
Tasers	67.083333	-85	100	Dredge (2002)
Svante Fiord mouth	77.608333	-84.983333	107	Atkinson (1999)
Starfish Bay mouth	78.15	-84.983333	110	O'Cofaigh et al. (2000)
Blacks Inlet	68.95	-84.916667	170	Dredge (1995)
Garry Bay Central	68.716667	-84.916667	160	Dredge (1995)
Jaeger Bay	78.05	-84.783333	106	O'Cofaigh et al. (2000)
Southampton Island	64.7	-84.766667	133	Bird (1970)
Whyte Inlet	70.183333	-84.683333	114	Hooper (1996), Hooper and Dyke (2000)
Wind Gap	81.966667	-84.666667	91	Evans (1990)
Garry Bay East	68.716667	-84.583333	130	Dredge (1995)
Svendsen Peninsula	77.543333	-84.5	87	Atkinson (1999)
Fury & Hecla Strait	69.8	-84.5	160	Dredge (1995)
Hot Weather Creek	79.966667	-84.433333	145	Bell (1996)
Sor Fiord head	77.283	-84.417	72	England et al. (2004)
Lyon North	66.816667	-84.333333	130	Dredge (2002)
Lyon North-2	67	-84.333333	120	Dredge (2002)
Jungersen Bay	71.51	-84.325	72	Dyke and Hooper (2000)
Baillarge Bay	73.216667	-84.216667	40	Dyke (2000d)
Lyon West	66.633333	-84.166667	155	Dredge (2002)
South Bay	64.1	-84.083333	160	Bird (1970)
Amherst South	69.683333	-84.05	140	Dredge (1995)
Starfish Bay head	78.2	-84	86	O'Cofaigh et al. (2000)
Gore Bay	66.216667	-83.916667	180	Dredge (2002)
Cape Hardy	75.773333	-83.854722	114	Dyke (1998)
Hoppner Inlet	66.916667	-83.75	140	Dredge (2002)
Gifford River	70.683	-83.65	75	Dyke (2004b)
Cape Home	74.594167	-83.529167	38	Dyke (1998)
Stenkul Fiord	77.333333	-83.45	77	England et al. (2004)
Southampton Island	65.1	-83.4	190	Bird (1970)
Strathcona Fiord	78.75	-83.383333	122	O'Cofaigh et al. (2000)
Winter Island	66.35	-83.333333	160	Dredge (2002)
Sikosak Bay	70.016	-83.166667	98	Dyke (2003a)
Lailor Lake Southwest	69.1	-83.133333	110	Dredge (1995)
Hall Lake North	68.716667	-83.066667	120	Dredge (1995)
Ajaqutalik River	68.25	-83	110	Dredge (1995)
Kingora River	68.583333	-83	110	Dredge (1995)
Blake	66.55	-83	140	Dredge (2002)
Moose River	50	-83	140	Skinner (1973)
Southampton Island	64.283333	-82.95	152	Bird (1970)
Cape Charles Yorke	73.725	-82.866667	58	Dyke (2000e)
Strathcona Fiord	78.7	-82.85	102	O'Cofaigh et al. (2000)
Amherst East	69.666667	-82.75	120	Dredge (1995)
Hall Lake	68.583333	-82.75	140	Dredge (1995)
Canon Fiord outer East	80.2	-82.65	148	England (1990)
Lailor Lake	69.166667	-82.583333	95	Dredge (1995)
Canon Fiord West-central	79.9	-82.566667	141	England (1990)
Amitoke Peninsula	68.133333	-82.5	130	Dredge (1995)
Dundas Harbour	74.5	-82.5	26	Prest (1952), Prest et al. (1968)
Amitoke Peninsula	68.166667	-82.416667	140	Dredge (1995)
Vendom Fiord	78.116667	-82.166667	70	Hodgson (1973)
Piliravijuk Bay	77.333333	-82.083333	102	England et al. (2004)
Coats Island	62.9	-82	124	Aylsworth and Shilts (1991)
Cape Jermain	67.766667	-81.916667	146	Dredge (2002)
Southampton Island Northeast	64.5	-81.75	180	Bird (1970)
Hook Glacier, opposite	77.51	-81.721667	105	England et al. (2004)
Otter Rapids	50.275	-81.65	164	Skinner (1973), Dredge and Cowan (1989)
Anstead Point	76.491667	-81.616667	105	Blake (1975)
Quartzite Lake	67.083333	-81.533333	150	Dredge (2002)
Siorarsuk Peninsula	70.017	-81.53	95	Prest et al. (1968), Craig (unpublished map), Dyke (2003)
Canon Fiord inner East	79.75	-81.5	130	England (1990)
Greely Fiord	80.4	-81.5	146	England (1990)
Irene Bay	79.016667	-81.466667	75	O'Cofaigh et al. (2000)
Koluktoo Bay	72.083333	-81.333333	61	Dyke (2000b)
Beta River	72.275	-81.283333	79	Dyke (2000b)
Cape Penrhyn	67.466667	-81.25	150	Dredge (2002)
Phillips Creek	71.866667	-80.85	48	Dyke (2000a)
Greely Fiord	80.45	-80.616667	140	England (1990)
Greely Fiord	80.716667	-80.583333	124	England (1990)
Lavoie Point	72.9	-80.541667	61	Dyke (2000b)
Southampton Island East	63.75	-80.4	157	Bird (1970)
Murray Maxwell Bay East	70.05	-80.22	88	Prest et al. (1968), Craig (unpublished map), Dyke (2003)
Devon Island Southeast	74.75	-80.15	0	Dyke (1998)
Gilmour Island	59.833333	-80	155	Andrews and Falconer (1969)
Goose Valley	73.166667	-79.883333	35	Allard (1997)
Cape Hatt	72.45	-79.816667	80	Hodgson and Haselton (1974), Klassen (1993)
Devon Islane East-central	75.35	-79.4	6	Dyke (1998)
Tanquary Fiord	80.933333	-79.25	116	England (1990)
Tay Sound elbow	72	-79.25	88	Falconer in Andrews and Drapier (1967)
Paquet Bay	72	-79.25	88	Stravers and Syvitski (1991)
Cape Thalbitzer	69.978333	-79.148055	94	Dyke (2006)
Beitstad Fiord	79.071667	-78.8	34	England et al. (2000)
Harricana River	50.5	-78.8	213	Vincent (1989)
Cockburn Lake	70.45	-78.666667	54	Dyke (2006)
Tay Sound head	71.933333	-78.583333	78	Falconer in Andrews and Drapier (1967)
d'Iberville Fiord head	80.6	-78.45	139	England (1990)
Akulivik	60.75	-78.416667	150	Gray et al. (1993)
Digges Island	62.577222	-78.090278	168	Laymon (1988)
Pond Inlet	72.7	-77.966667	50	Klassen (1993)
Jokel Fiord, Sands Glacier	78.95	-77.916667	50	England et al. (2000)
Nottingham Island	63.433333	-77.916667	176	Laymon (1988)
Eastmain River	52.222222	-77.916667	270	Vincent (1989)
Rowley River	70.276111	-77.911944	65	Dyke (2006)
Kuugaq River	62.140278	-77.879167	167	Prest et al. (1968)
Clarence Head	76.793333	-77.8	80	Blake in Lowdon and Blake (1981)
Poste-de-la-Baleine	55.283333	-77.766667	270	Vincent (1989)
Ivujivik Harbour	62.4	-77.75	152	Laymon (1988)
Paquet Bay	71.716667	-77.7	76	Stravers and Syvitski (1991)
Fellside Lake	70.016	-77.67	91	Andrews (1966)
Windless Lake	70.15	-77.583333	91	Ives (1964), Andrews (1966), Dyke (2006)
Matagami-LG2 road	53.35	-77.566667	270	Vincent (1989)
La Grand Rivière	53.583333	-77.5	270	Vincent (1977)
Chalk River	46.02	-77.45	175	Barnett (1988)
Eric Cove	62.55	-77.383333	170	Matthews (1967), Gray et al. (1993)
Isortoq Fiord mouth	69.87	-77.25	89	Sim (1964), Andrews (1966)
Salisbury Island	63.583333	-77.233333	150	Laymon (1988)
Antoinette Bay	80.9	-77.2	122	England (1990)
Pembroke	45.83	-77.2	174	Fulton (1987)
Matagami-LG2 road	52.216667	-77.133333	270	Vincent (1989)
Macdonald River	81.4	-76.916667	86	Hattersley-Smith and Long (1967)
Isortoq Fiord head	69.95	-76.9	73	Sim (1964), Andrews (1966)
Isortoq River	70.03	-76.83	69	Andrews (1966)
Povungnituk	60.05	-76.766667	140	Gray et al. (1993)
Campbells Bay	45.75	-76.6	178	Fulton (1987)
Baie Oblongue	62.45	-76.6	136	Matthews in Andrews and Drapier (1967)
Foxe Peninsula	64.316667	-76.566667	187	Laymon (1988)
Shawville	45.609722	-76.5	182	Fulton (1987)
White Lake	45.37	-76.5	170	Fulton (1987)
Richmond Gulf	56.266667	-76.5	270	Hillaire-Marcel (1980)
Rivière Nataspoka	56.891667	-76.425	240	Allard and Seguin (1985)
Tikerarsuk Point	69.416667	-76.4	94	Sim (1964), Andrews (1966), King and Buckley (1967)
Coutts Inlet	71.45	-76.333333	72	Stravers and Syvitski (1991)
Clayton	45.18	-76.33	168	Fulton (1987)
Alexandra Fiord	78.866667	-76.3	61	England et al. (2000)
Onslow Corners	45.65	-76.3	192	Fulton (1987)
Rivière Boniface	57.6	-76.25	175	Allard and Rousseau (1999)
Innisville	45.05	-76.25	155	Fulton (1987)
James Bay East	54.3	-76.25	268	Vincent (1989)
Foxe Peninsula	64.266667	-76.233333	195	Laymon (1988)
Cape Discovery	83.05	-76.133333	68	Lemmen (1989)
Knud Peninsula	79.096667	-76.075	80	England et al. (2000)
Baird Inlet	78.533333	-76.066667	90	Blake (1988)
Smiths Falls	44.9	-76.02	134	Fulton (1987)
Lascelles	45.729167	-75.954167	211	Fulton (1987)
Flagler Bay	79.1	-75.95	83	England et al. (2000)
Mallorytown	44.48	-75.88	123	Fulton (1987)
Butterfly Lake	69.416667	-75.85	104	Dredge (2003d)
Butterfly Lake	69.35	-75.816667	94	Sim (1964)
Lac Werden	56.6	-75.75	206	Allard and Seguin (1985)
Ikpik East	69.266667	-75.633333	95	Dredge (2003d)
Sugluk Inlet	62.2	-75.633333	150	Gray et al. (1993)
M'Clintock Inlet	82.633333	-75.616667	122	Lemmen (1989)
Val des Bois	45.92	-75.6	200	Fulton (1987)
Princess Marie Bay	79.466667	-75.583333	88	England et al. (2000)
Black Lake	44.5	-75.55	120	Pair and Rodrigues (1993)
Lac Chavigny ouest	58	-75.5	170	Lauriol (1982)
Ipiutik Lake	69.083333	-75.466667	111	Dredge (2003d)
Rivière Ouiatchouane	56.05	-75.35	217	Allard and Seguin (1985)
Bearbrook	45.391667	-75.341667	210	Fulton (1987)
La Grande Rivière	53.6	-75.25	246	Vincent (1989)
Longstaff Bluff	68.966667	-75.216667	93	Dredge (2003c)
Rannock Arm	71.45	-75.133333	83	Stravers and Syvitski (1991)
Duhamel	46.02	-75.08	210	Fulton (1987)
Astarte River	69.116667	-75.033333	83	Andrews (1970b)
Bartlett Bay	79.183333	-75	88	England et al. (2000)
